地區,地名,代號,緯度,經度
宜蘭縣大同鄉,太平山(1),01U56,24.4924788,121.5368392
宜蘭縣大同鄉,太平山,C0U71,24.5055,121.5257
宜蘭縣大同鄉,古魯,C1U51,24.5716,121.6716
新北市平溪區,火燒寮,01A20,24.975,121.7180556
新北市平溪區,平溪旅遊,NUP46,25.0257669,121.7387424
新北市雙溪區,太平,L1A84,24.9715346,121.8258604
新北市平溪區,火燒寮,C0A65,25.0027,121.7429
新北市雙溪區,泰平,C0A55,24.9712,121.8237
新北市瑞芳區,瑞芳,C0A66,25.1132,121.8011
新北市瑞芳區,瑞芳,01A38,25.1089019,121.81005
宜蘭縣三星鄉,清水,01U79,24.612024,121.6362942
新北市坪林區,碧湖,01A19,24.89081855,121.744909
新北市坪林區,坪林,C0A53,24.9382,121.7094
新北市瑞芳區,員山子,NUP81,25.1038716,121.8203268
新北市瑞芳區,大粗坑,swc07,25.1000936,121.845109
新北市坪林區,坪林,L1A83,24.9121433,121.71939435
新北市坪林區,四堵,C0A54,24.8928,121.7459
新北市坪林區,碧湖,L1A80,24.89081855,121.744909
宜蘭縣大同鄉,池端,21U11,24.64813555,121.477421
宜蘭縣冬山鄉,寒溪,C1U67,24.6342,121.7167
臺北市南港區,茶場,A1AD7,25.0273353,121.6638026
新北市坪林區,坪林,01A17,24.9121433,121.71939435
新北市瑞芳區,三貂嶺,01AF9,25.06066,121.822647
新北市烏來區,桶後,C0A57,24.8482,121.5980
花蓮縣秀林鄉,和中,C0T9D,24.2666,121.7413
宜蘭縣大同鄉,土場(1,01U05,24.5731385,121.4963588
宜蘭縣大同鄉,梵梵(2,01U06,24.6137655,121.5254994
宜蘭縣南澳鄉,樟林,01U45,24.4655085,121.6435318
宜蘭縣南澳鄉,東澳,C0U76,24.5219,121.8331
新北市雙溪區,雙溪,C0A89,25.0360,121.8642
宜蘭縣員山鄉,再連,C1U63,24.7151,121.6794
宜蘭縣三星鄉,三星,C1U66,24.6706,121.6544
新北市烏來區,福山,01A43,24.7471984,121.5106063
宜蘭縣南澳鄉,武塔,01U47,24.4341417,121.7092987
宜蘭縣南澳鄉,大濁水,01U23,24.3252097,121.7688008
宜蘭縣大同鄉,寒溪,88U83,24.610555,121.687412
宜蘭縣冬山鄉,新寮,C1U69,24.6256,121.7513
新北市石碇區,石碇,C0A64,24.9939,121.6629
新北市烏來區,下盆,C1A63,24.7710,121.5386
宜蘭縣冬山鄉,新寮(1,01U12,24.6316921,121.750197
宜蘭縣羅東鎮,羅東,C0U64,24.6838,121.7478
宜蘭縣礁溪鄉,大礁溪,C1U61,24.7860,121.6783
新北市烏來區,福山,C0A56,24.7762,121.5028
新北市瑞芳區,五分山站,46685,25.0709534,121.7806396
宜蘭縣南澳鄉,東澳嶺,C1U84,24.5378,121.8485
宜蘭縣大同鄉,牛鬥,C1U50,24.6378,121.5737
宜蘭縣員山鄉,雙連埤,C0U52,24.7530,121.6413
新北市石碇區,十三股,L1A82,24.947229,121.648057
新竹縣五峰鄉,白蘭,C1D41,24.5794,121.0799
宜蘭縣羅東鎮,新北城,01U19,24.8642391,121.5517673
宜蘭縣大同鄉,思源,C0U73,24.3972,121.3567
新北市新店區,大桶山,01A44,24.87620555,121.562969
新北市石碇區,石碇,01A13,24.9496777,121.64657345
新北市石碇區,九芎根,L1A81,24.8861366,121.66281
花蓮縣壽豐鄉,東華,C0Z10,23.8953,121.5498
宜蘭縣蘇澳鎮,烏石鼻,C1U83,24.4827,121.8394
宜蘭縣南澳鄉,觀音海岸,C1U85,24.3832,121.7786
臺北市文山區,指南,A1AC4,24.98800715,121.57527155
宜蘭縣大同鄉,玉蘭,C0U65,24.6753,121.5871
新北市深坑區,深坑,C0AD2,25.0014,121.6176
宜蘭縣南澳鄉,南澳,C0U77,24.4493,121.8102
新北市三峽區,大豹,01A21,24.8711008,121.40738465
宜蘭縣宜蘭市,宜蘭,46708,24.7640,121.7565
