地區,地名,代號,緯度,經度
,彭佳嶼,46695,25.6280,122.0797
,基隆,46694,25.1333,121.7405
,陽明山,46693,25.1621,121.5445
,臺北,46692,25.0377,121.5149
,三芝,C0AD0,25.2581,121.5019
,淡水,46690,25.1649,121.4489
,三貂角,C0A97,25.0076,122.0021
,板橋,46688,24.9976,121.4420
,新店,A0A9M,24.9342,121.5933
,坪林,C0A53,24.9382,121.7094
,大園,46686,25.0478,121.2260
,新屋,46705,25.0067,121.0475
,桃園,C0C48,24.9924,121.3232
,中壢,C0C52,24.9676,121.1853
,大溪,C0C63,24.8829,121.2655
,香山,C0D57,24.7469,120.9055
,新竹,46757,24.8279,121.0142
,關西,C0D39,24.7982,121.1739
,竹東,C0D56,24.7671,121.0579
,雪霸,C0D55,24.5270,121.1161
,竹南,C0E42,24.7090,120.8889
,南庄,C0E43,24.6018,121.0002
,苗栗,C0E75,24.5646,120.8246
,苑裡,C0E83,24.4397,120.6531
,三義,C0E53,24.4109,120.7660
,大甲,C0F93,24.3477,120.6404
,梧棲,46777,24.2560,120.5234
,豐原,C0F9M,24.2543,120.7207
,梨山,C0F86,24.2475,121.2437
,東勢,C0F85,24.2464,120.8330
,大雅,C0F9X,24.2102056,120.631089
,臺中,46749,24.1457,120.6841
,鹿港,C0G64,24.0753,120.4305
,溪湖,C0G66,23.9484,120.4791
,員林,C0G65,23.9465,120.5856
,田中,C0G85,23.8568,120.5883
,大城,C0G74,23.8525,120.3209
,合歡山頂,C0H9C,24.1434,121.2725
,廬山,C0I01,24.0333,121.1818
,草屯,C0H96,23.9737,120.6809
,日月潭,46765,23.8813,120.9081
,竹山,C0I11,23.7612,120.6882
,玉山,46755,23.4876,120.9595
,虎尾,C0K33,23.7192,120.4420
,四湖,C0K28,23.6304,120.2271
,草嶺,C0K24,23.5956,120.6935
,口湖,C0K29,23.5363,120.1693
,嘉義,46748,23.4959,120.4329
,阿里山,46753,23.5082,120.8132
,大埔,C0M41,23.3244,120.5820
,關子嶺,C0X24,23.3314,120.5077
,新營,C0X25,23.3107,120.3167
,佳里,C0X08,23.1730,120.1451
,玉井,C0O93,23.1260,120.4606
,善化,C0O90,23.1129,120.2972
,臺南,46741,22.9932,120.2048
,甲仙,C0V25,23.0801,120.5918
,美濃,C0V31,22.8987,120.5192
,田寮,C0V37,22.8932,120.4019
,新興,C0V49,22.6274,120.2988
,高雄,46744,22.5660,120.3157
,東沙,46810,20.681664,116.7395748
,南沙,46902,10.1813335,114.3650818
,三地門,C0R15,22.7099,120.6399
,潮州,C0R22,22.5344,120.5400
,東港,C0R43,22.4649,120.4417
,枋寮,C0R38,22.3694,120.5896
,琉球嶼,C0R27,22.3322,120.3622
,枋山,C0R40,22.1902,120.6927
,恆春,46759,22.0039,120.7463
,礁溪,C0U60,24.8175,121.7655
,宜蘭,46708,24.7640,121.7565
,蘇澳,46706,24.5967,121.8574
,太平山,C0U71,24.5055,121.5257
,南澳,C0U77,24.4493,121.8102
,天祥,C0T82,24.1796,121.4956
,花蓮,46699,23.9751,121.6133
,鯉魚潭,C0T87,23.9356,121.5089
,光復,C0T96,23.6607,121.4250
,豐濱,C0T9I,23.5841,121.5143
,玉里,C0Z06,23.3215,121.3397
,向陽,C0S75,23.2484,120.9861
,池上,C0S74,23.1196,121.2095
,成功,46761,23.0975,121.3734
,臺東,46766,22.7522,121.1546
,綠島,C0S73,22.6672,121.4753
,大武,46754,22.3557,120.9038
,蘭嶼,46762,22.0370,121.5583
,澎湖,46735,23.5655,119.5631
,東吉島,46730,23.2570,119.6675
,金門,46711,24.4073,118.2893
,馬祖,46799,26.1693,119.9234
