屏東縣泰武鄉,北大武山步道2.6K_西大武山,C1R61
臺東縣達仁鄉,(大武事業區48林班、電信轉播站後)_壽卡,C1S88
屏東縣牡丹鄉,(恆春事業區21林班、電信轉播台附近)_牡丹池山,C0R42
屏東縣獅子鄉,草埔村 - 第7河川局_壽卡,01R00
臺東縣太麻里鄉,金崙段304-1地號_金崙,C0S79
屏東縣牡丹鄉,牡丹村 - 第7河川局_牡丹,01Q86
臺東縣金峰鄉,嘉蘭村12鄰665號 - 水保局_金峰鄉公所,81S92
臺東縣成功鎮,博愛里 - 水保局_膽曼,81S91
臺東縣大武鄉,大武街115號_大武,46754
臺東縣太麻里鄉,多良村(原中華電信轉播站旁)_大溪山,C0S77
臺東縣金峰鄉,(公所原生植物園區)_金峰,C1S82
臺東縣大武鄉,大鳥村 - 水保局_大鳥,88S67
臺東縣卑南鄉,東興村(大南發電所) - 第8河川局_南鵝,01S56
臺東縣太麻里鄉,賓茂村68號(賓茂國小) - 第8河川局_賓茂國小,O1S66
臺東縣金峰鄉,金山段125地號 - 第8河川局_金針山,O1S68
屏東縣牡丹鄉,旭海村6號(旭海分駐所附近)_旭海,C1R30
臺東縣成功鎮,(南美山產業道路底附近)_南美山,C1S87
臺東縣達仁鄉,土阪村1鄰10號(土阪國小)_土阪,C1S62
屏東縣滿州鄉,長樂村大公路14號(往南仁山方向)_檳榔,C0R28
花蓮縣卓溪鄉,卓清村(卓樂社區長老教會旁)_卓樂,C1Z01
臺東縣達仁鄉,南田村(南田風景區公園對面)_南田,C0S84
臺東縣達仁鄉,(新化警察派出所後) - 第8河川局_紹家,01S36
臺東縣太麻里鄉,溫泉村(上泓泉度假飯店) - 第8河川局_知本(5),01S21
臺東縣太麻里鄉,華源村_華源,C1S80
臺東縣卑南鄉,溫泉村(溫泉國小樂山分校)_知本,C0S70
花蓮縣豐濱鄉,石梯坪 - 水保局_石梯坪,81T88
花蓮縣富里鄉,道化路82號 - 水保局_東里國中,81T91
臺東縣長濱鄉,樟原村三間南溪5號(南溪國小後) - 第8河川局_樟原(1),01S27
臺東縣太麻里鄉,佳崙產業道路(往金針山茶區方向)_太麻里,C0S69
臺東縣大武鄉,大竹村 - 水保局_愛國埔分校,81S88
花蓮縣富里鄉,豐南村花82縣道底(叉路1K)_豐南,C1S85
花蓮縣卓溪鄉,卓溪村中正72號 - 水保局_卓溪國小,81T90
臺東縣海端鄉,向陽工務段_向陽,C0S75
花蓮縣卓溪鄉,卓清村(卓樂國小) - 第9河川局_卓麓(4),01T22
花蓮縣富里鄉,竹田村25鄰雲閩36號(彭大媽客家食堂) - 第9河川局_六十石山,01T9J
花蓮縣卓溪鄉,清水6號 - 第9河川局_卓清國小,O1T81
臺東縣長濱鄉,竹湖村(移民橋後山三角點)_長濱,C0S83
花蓮縣豐濱鄉,靜浦村(活動中心後山)_靜浦,C0T9M
臺東縣長濱鄉,忠勇村(忠勇國小附近) - 第8河川局_忠勇,01S26
高雄市大樹區,溪埔里之台21線285K-286K間_溪埔,C0V35
臺東縣池上鄉,新興村104號(退輔會臺東農場)_池上,C0S74
花蓮縣玉里鎮,樂合里新民41號(樂合國小)_玉里,C0Z06
臺東縣東河鄉,北源村順那路21號(北源國小) - 第8河川局_北源,01S87
花蓮縣富里鄉,明里村(明里社區後山)_明里,C0Z02
花蓮縣卓溪鄉,太平村1鄰2號 - 第9河川局_太平國小,O1T82
臺東縣成功鎮,公民路84號_成功,46761
屏東縣內埔鄉,龍泉村原勝路6號(崇文國小)_龍泉,C1R20
臺東縣海端鄉,海瑞村新武呂5號 - 第8河川局_新武(3),01S44
屏東縣牡丹鄉,199縣道23K-23.5K(恆春事業區25林班)_牡丹,C1R34
屏東縣瑪家鄉,佳義村 - 水保局_佳義國小,81R64
屏東縣獅子鄉,丹路村 - 水保局_丹路國小,81R65
臺東縣海端鄉,台20縣169K(福德宮後)_摩天,C1S67
花蓮縣瑞穗鄉,中正北路二段35號 - 水保局_瑞北國小,81T89
臺東縣卑南鄉,利嘉林道6K附近_利嘉,C1S86
屏東縣泰武鄉,泰武村(舊泰武村) - 第7河川局_泰武(1),01Q25
臺東縣鹿野鄉,瑞豐村 - 水保局_加拿國小,81S90
花蓮縣瑞穗鄉,奇美村3鄰47號(奇美國小) - 第9河川局_奇美國小,O1T80
臺東縣海端鄉,(原下馬派出所旁)_下馬,C1S66
臺東縣關山鎮,電光里中興路93號(電光國小) - 第8河川局_電光,01S86
臺東縣卑南鄉,建和里 - 水保局_射馬干,81S93
臺東縣海端鄉,霧鹿村2鄰12號 - 第8河川局_霧鹿,01S43
花蓮縣萬榮鄉,(紅葉村教堂附近)_紅葉,C1Z03
花蓮縣瑞穗鄉,舞鶴村(加納納山三角點)_舞鶴,C0Z07
屏東縣泰武鄉,泰武村良武巷101號(舊泰武村老人活動中心)_舊泰武,C0R60
臺南市安定區,南安村油車33之11號(安定消防分隊)_安定,C0X15
臺東縣鹿野鄉,鹿鳴村7號(原水文觀測站) - 第8河川局_鹿鳴橋,O1S12
花蓮縣玉里鎮,觀音里15鄰9號(觀音國小)_高寮,C1T99
花蓮縣卓溪鄉,立山村山里65號 - 第9河川局_立山,01T23
屏東縣滿州鄉,港口村茶山路14號(佳樂山工作站)_佳樂水,C0R37
